Ind,Pop_Abbrev,Pop_Name,Long,Lat,Variety
ZFB01,B,Bronson,-82.59785984,29.48341968,integrifolia
ZFB02,B,Bronson,-82.59827164,29.46042761,integrifolia
ZFB03,B,Bronson,-82.59824499,29.46049919,integrifolia
ZFB04,B,Bronson,-82.59825018,29.4604831,integrifolia
ZFB05,B,Bronson,-82.59826535,29.46095877,integrifolia
ZFB06,B,Bronson,-82.59830198,29.46102172,integrifolia
ZFB07,B,Bronson,-82.57632229,29.46345926,integrifolia
ZFB08,B,Bronson,-82.57633008,29.46349631,integrifolia
ZFB09,B,Bronson,-82.57622179,29.46351819,integrifolia
ZFB10,B,Bronson,-82.58211636,29.46369228,integrifolia
ZFB11,B,Bronson,-82.5820851,29.46370007,integrifolia
ZFB12,B,Bronson,-82.58207244,29.46349388,integrifolia
ZFB13,B,Bronson,-82.58204746,29.46339472,integrifolia
ZFB14,B,Bronson,-82.58194285,29.46345256,integrifolia
ZFB15,B,Bronson,-82.58186113,29.46345633,integrifolia
ZFB16,B,Bronson,-82.58181176,29.46348709,integrifolia
ZFB17,B,Bronson,-82.58179148,29.46348818,integrifolia
ZFB18,B,Bronson,-82.58179701,29.46343655,integrifolia
ZFB19,B,Bronson,-82.58180221,29.46341509,integrifolia
ZFB20,B,Bronson,-82.58178838,29.46344174,integrifolia
ZFB21,B,Bronson,-82.58178796,29.4634565,integrifolia
ZFB22,B,Bronson,-82.58177379,29.46343127,integrifolia
ZFB23,B,Bronson,-82.58180472,29.46353512,integrifolia
ZFB24,B,Bronson,-82.58180849,29.46356865,integrifolia
ZFB25,B,Bronson,-82.58180455,29.46357183,integrifolia
ZFB26,B,Bronson,-82.58179491,29.46361718,integrifolia
ZFB27,B,Bronson,-82.58179382,29.46361483,integrifolia
ZFB28,B,Bronson,-82.58179206,29.46362623,integrifolia
ZFB29,B,Bronson,-82.58181377,29.46362472,integrifolia
ZFB30,B,Bronson,-82.58177907,29.46379831,integrifolia
ZFB31,B,Bronson,-82.58176499,29.46380334,integrifolia
ZFB32,B,Bronson,-82.58183037,29.46453575,integrifolia
ZFB33,B,Bronson,-82.58190765,29.46491679,integrifolia
ZFB34,B,Bronson,-82.5823125,29.46491403,integrifolia
ZFB35,B,Bronson,-82.58257845,29.46462678,integrifolia
ZFLB01,LB,Broward,-80.27978,26.07844,integrifolia
ZFLB02,LB,Broward,-80.27963,26.0781,integrifolia
ZFLB03,LB,Broward,-80.27971,26.07825,integrifolia
ZFLB04,LB,Broward,-80.27976,26.07831,integrifolia
ZFLB05,LB,Broward,-80.27976,26.07832,integrifolia
ZFLB06,LB,Broward,-80.27985,26.07831,integrifolia
ZFLB07,LB,Broward,-80.27994,26.07832,integrifolia
ZFLB08,LB,Broward,-80.28005,26.0783,integrifolia
ZFLB09,LB,Broward,-80.27748,26.07859,integrifolia
ZFLB10,LB,Broward,-80.27743,26.07855,integrifolia
ZFLB11,LB,Broward,-80.27721,26.07874,integrifolia
ZFLB12,LB,Broward,-80.2773,26.07872,integrifolia
ZFLB13,LB,Broward,-80.27706,26.07862,integrifolia
ZFBP101,BP1,Bulow 1,-81.1400116,29.43345088,umbrosa
ZFBP102,BP1,Bulow 1,-81.14016783,29.43332196,umbrosa
ZFBP103,BP1,Bulow 1,-81.14002643,29.43325097,umbrosa
ZFBP104,BP1,Bulow 1,-81.14009676,29.43328567,umbrosa
ZFBP105,BP1,Bulow 1,-81.13993691,29.43302197,umbrosa
ZFBP106,BP1,Bulow 1,-81.13992384,29.43295601,umbrosa
ZFBP107,BP1,Bulow 1,-81.14003272,29.43290697,umbrosa
ZFBP108,BP1,Bulow 1,-81.13977623,29.43290563,umbrosa
ZFBP109,BP1,Bulow 1,-81.13964832,29.43255443,umbrosa
ZFBP110,BP1,Bulow 1,-81.13956786,29.43252074,umbrosa
ZFBP111,BP1,Bulow 1,-81.13951396,29.43223156,umbrosa
ZFBP112,BP1,Bulow 1,-81.13949225,29.43218638,umbrosa
ZFBP113,BP1,Bulow 1,-81.13946954,29.43202763,umbrosa
ZFBP114,BP1,Bulow 1,-81.13954171,29.43170534,umbrosa
ZFBP115,BP1,Bulow 1,-81.13967523,29.43149353,umbrosa
ZFBP116,BP1,Bulow 1,-81.13941078,29.43141893,umbrosa
ZFBP117,BP1,Bulow 1,-81.13927172,29.43144609,umbrosa
ZFBP118,BP1,Bulow 1,-81.13909478,29.43143738,umbrosa
ZFBP119,BP1,Bulow 1,-81.13915128,29.43140108,umbrosa
ZFBP120,BP1,Bulow 1,-81.14032265,29.43192319,umbrosa
ZFBP121,BP1,Bulow 1,-81.14048693,29.43172596,umbrosa
ZFBP122,BP1,Bulow 1,-81.14067871,29.4315445,umbrosa
ZFBP123,BP1,Bulow 1,-81.14063974,29.43134333,umbrosa
ZFBP124,BP1,Bulow 1,-81.14104081,29.43133126,umbrosa
ZFBP125,BP1,Bulow 1,-81.14118833,29.43032065,umbrosa
ZFBP126,BP1,Bulow 1,-81.14141699,29.42949235,umbrosa
ZFBP127,BP1,Bulow 1,-81.14122965,29.42953125,umbrosa
ZFBP128,BP1,Bulow 1,-81.14111801,29.42937165,umbrosa
ZFBP129,BP1,Bulow 1,-81.14103762,29.42888131,umbrosa
ZFBP130,BP1,Bulow 1,-81.14103997,29.42887679,umbrosa
ZFBP131,BP1,Bulow 1,-81.14119403,29.42871217,umbrosa
ZFBP132,BP1,Bulow 1,-81.1416252,29.42472967,umbrosa
ZFBP133,BP1,Bulow 1,-81.14052599,29.42217034,umbrosa
ZFBP134,BP1,Bulow 1,-81.14200808,29.42491491,umbrosa
ZFBP135,BP1,Bulow 1,-81.14001813,29.43377282,umbrosa
ZFBP136,BP1,Bulow 1,-81.1481034,29.43181833,umbrosa
ZFBP201,BP2,Bulow 2,-81.1480832,29.43184339,umbrosa
ZFBP202,BP2,Bulow 2,-81.14808228,29.4318506,umbrosa
ZFBP203,BP2,Bulow 2,-81.14812461,29.43197164,umbrosa
ZFBP204,BP2,Bulow 2,-81.14809326,29.43197298,umbrosa
ZFBP205,BP2,Bulow 2,-81.14799234,29.43195756,umbrosa
ZFBP206,BP2,Bulow 2,-81.14780635,29.43199812,umbrosa
ZFBP207,BP2,Bulow 2,-81.14768087,29.43181833,umbrosa
ZFBP208,BP2,Bulow 2,-81.14785102,29.4316569,umbrosa
ZFBP209,BP2,Bulow 2,-81.14791246,29.4317346,umbrosa
ZFBP210,BP2,Bulow 2,-81.14824573,29.43171993,umbrosa
ZFBP211,BP2,Bulow 2,-81.14844421,29.43175731,umbrosa
ZFBP212,BP2,Bulow 2,-81.14847061,29.43160853,umbrosa
ZFBP213,BP2,Bulow 2,-81.14849676,29.4317372,umbrosa
ZFBP214,BP2,Bulow 2,-81.14857765,29.43169302,umbrosa
ZFBP215,BP2,Bulow 2,-81.14863339,29.43172093,umbrosa
ZFBP216,BP2,Bulow 2,-81.14864336,29.43172932,umbrosa
ZFBP217,BP2,Bulow 2,-81.14892055,29.4317113,umbrosa
ZFBP218,BP2,Bulow 2,-81.14904536,29.43164323,umbrosa
ZFBP219,BP2,Bulow 2,-81.14911627,29.43164173,umbrosa
ZFBP220,BP2,Bulow 2,-81.14943503,29.43155447,umbrosa
ZFBP221,BP2,Bulow 2,-81.14949874,29.43141927,umbrosa
ZFBP222,BP2,Bulow 2,-81.1496025,29.43138775,umbrosa
ZFBP223,BP2,Bulow 2,-81.14962715,29.43127954,umbrosa
ZFBP224,BP2,Bulow 2,-81.14962128,29.43137988,umbrosa
ZFBP225,BP2,Bulow 2,-81.15000232,29.43125666,umbrosa
ZFBP226,BP2,Bulow 2,-81.1501402,29.43125968,umbrosa
ZFBP227,BP2,Bulow 2,-81.1502661,29.43122858,umbrosa
ZFBP228,BP2,Bulow 2,-81.15032419,29.43116278,umbrosa
ZFBP229,BP2,Bulow 2,-81.15042661,29.43117502,umbrosa
ZFBP230,BP2,Bulow 2,-81.15111535,29.43100789,umbrosa
ZFBP231,BP2,Bulow 2,-81.15124427,29.43100311,umbrosa
ZFBP232,BP2,Bulow 2,-81.1512783,29.43105835,umbrosa
ZFBP233,BP2,Bulow 2,-81.15146287,29.43094527,umbrosa
ZFCNS01,CNS,Canaveral,-80.81298821,28.90887634,umbrosa
ZFCNS02,CNS,Canaveral,-80.81323606,28.90876243,umbrosa
ZFCNS03,CNS,Canaveral,-80.81324251,28.90877634,umbrosa
ZFCNS04,CNS,Canaveral,-80.81524973,28.90844651,umbrosa
ZFCNS05,CNS,Canaveral,-80.81591492,28.90893267,umbrosa
ZFCNS06,CNS,Canaveral,-80.81594291,28.90894666,umbrosa
ZFCNS07,CNS,Canaveral,-80.81573219,28.90889822,umbrosa
ZFCNS08,CNS,Canaveral,-80.81676719,28.90885522,umbrosa
ZFCNS09,CNS,Canaveral,-80.81589371,28.90884533,umbrosa
ZFCNS10,CNS,Canaveral,-80.81310731,28.90877911,umbrosa
ZFCNS11,CNS,Canaveral,-80.81306314,28.90868775,umbrosa
ZFCNS12,CNS,Canaveral,-80.81297169,28.90867928,umbrosa
ZFCNS13,CNS,Canaveral,-80.81297563,28.9086735,umbrosa
ZFCNS14,CNS,Canaveral,-80.81279065,28.90863301,umbrosa
ZFCNS15,CNS,Canaveral,-80.81623309,28.90933835,umbrosa
ZFCNS16,CNS,Canaveral,-80.81616336,28.90938722,umbrosa
ZFCNS17,CNS,Canaveral,-80.81616453,28.90937573,umbrosa
ZFCNS18,CNS,Canaveral,-80.81616411,28.90937163,umbrosa
ZFCNS19,CNS,Canaveral,-80.81615447,28.90936207,umbrosa
ZFCNS20,CNS,Canaveral,-80.81608926,28.90925596,umbrosa
ZFCNS21,CNS,Canaveral,-80.81605498,28.90928068,umbrosa
ZFCNS22,CNS,Canaveral,-80.81595582,28.90930298,umbrosa
ZFCNS23,CNS,Canaveral,-80.81594224,28.90929325,umbrosa
ZFCNS24,CNS,Canaveral,-80.8158813,28.90930566,umbrosa
ZFCNS25,CNS,Canaveral,-80.81586161,28.90928462,umbrosa
ZFCNS26,CNS,Canaveral,-80.81585524,28.90927901,umbrosa
ZFCNS27,CNS,Canaveral,-80.81586203,28.9092775,umbrosa
ZFCNS28,CNS,Canaveral,-80.81585809,28.90927666,umbrosa
ZFCNS29,CNS,Canaveral,-80.81583495,28.90923349,umbrosa
ZFCNS30,CNS,Canaveral,-80.81577594,28.90917717,umbrosa
ZFCNS31,CNS,Canaveral,-80.81582414,28.90917096,umbrosa
ZFCNS32,CNS,Canaveral,-80.81578709,28.90911321,umbrosa
ZFCNS33,CNS,Canaveral,-80.81574996,28.90912595,umbrosa
ZFCNS34,CNS,Canaveral,-80.81570051,28.9090853,umbrosa
ZFCNS35,CNS,Canaveral,-80.81567427,28.90899695,umbrosa
ZFCNS36,CNS,Canaveral,-80.81571744,28.90928269,umbrosa
ZFCNS37,CNS,Canaveral,-80.81575901,28.90926333,umbrosa
ZFCNS38,CNS,Canaveral,-80.81575231,28.90925227,umbrosa
ZFCNS39,CNS,Canaveral,-80.8157109,28.90921446,umbrosa
ZFCNS40,CNS,Canaveral,-80.81570822,28.90918848,umbrosa
ZFCNS41,CNS,Canaveral,-80.81566555,28.90919611,umbrosa
ZFCNS42,CNS,Canaveral,-80.81561996,28.90923182,umbrosa
ZFCNS43,CNS,Canaveral,-80.81560839,28.90920977,umbrosa
ZFCNS44,CNS,Canaveral,-80.81562641,28.90918873,umbrosa
ZFCNS45,CNS,Canaveral,-80.81577678,28.90934405,umbrosa
ZFCNS46,CNS,Canaveral,-80.81599639,28.90942669,umbrosa
ZFCNS47,CNS,Canaveral,-80.81599739,28.90942669,umbrosa
ZFCNS48,CNS,Canaveral,-80.81609538,28.90946198,umbrosa
ZFCNS49,CNS,Canaveral,-80.81619747,28.90947355,umbrosa
ZFCC01,CC,Cayo Costa,-82.24894191,26.69886821,integrifolia
ZFCC02,CC,Cayo Costa,-82.2489021,26.69886779,integrifolia
ZFCC03,CC,Cayo Costa,-82.24889179,26.69895111,integrifolia
ZFCC04,CC,Cayo Costa,-82.24891283,26.69898522,integrifolia
ZFCC05,CC,Cayo Costa,-82.24868333,26.69905404,integrifolia
ZFCC06,CC,Cayo Costa,-82.24863564,26.699105,integrifolia
ZFCC07,CC,Cayo Costa,-82.24853455,26.69918764,integrifolia
ZFCC08,CC,Cayo Costa,-82.24842198,26.69923282,integrifolia
ZFCC09,CC,Cayo Costa,-82.24841385,26.69923014,integrifolia
ZFCC10,CC,Cayo Costa,-82.24837781,26.69905563,integrifolia
ZFCC11,CC,Cayo Costa,-82.24831101,26.69911866,integrifolia
ZFCC12,CC,Cayo Costa,-82.24823297,26.69923894,integrifolia
ZFCC13,CC,Cayo Costa,-82.24832878,26.69930021,integrifolia
ZFCC14,CC,Cayo Costa,-82.24850169,26.69942921,integrifolia
ZFCC15,CC,Cayo Costa,-82.24842676,26.69949912,integrifolia
ZFCC16,CC,Cayo Costa,-82.24854008,26.69952393,integrifolia
ZFCC17,CC,Cayo Costa,-82.24850521,26.69964957,integrifolia
ZFCC18,CC,Cayo Costa,-82.24839038,26.69962317,integrifolia
ZFCC19,CC,Cayo Costa,-82.24829961,26.69972233,integrifolia
ZFCC20,CC,Cayo Costa,-82.24829315,26.69981495,integrifolia
ZFCC21,CC,Cayo Costa,-82.24833925,26.70001578,integrifolia
ZFCC22,CC,Cayo Costa,-82.24839348,26.70006204,integrifolia
ZFCC23,CC,Cayo Costa,-82.24837077,26.700126,integrifolia
ZFCC24,CC,Cayo Costa,-82.2483991,26.7002073,integrifolia
ZFCC25,CC,Cayo Costa,-82.24841855,26.70032356,integrifolia
ZFCC26,CC,Cayo Costa,-82.24820238,26.69948612,integrifolia
ZFCC27,CC,Cayo Costa,-82.24842215,26.6993288,integrifolia
ZFCC28,CC,Cayo Costa,-82.24835702,26.69935914,integrifolia
ZFCC29,CC,Cayo Costa,-82.24828091,26.69935226,integrifolia
ZFCC30,CC,Cayo Costa,-82.24824823,26.69932921,integrifolia
ZFCC31,CC,Cayo Costa,-82.24801068,26.699263,integrifolia
ZFCC32,CC,Cayo Costa,-82.24803197,26.69948562,integrifolia
ZFCC33,CC,Cayo Costa,-82.24798118,26.69950096,integrifolia
ZFCC34,CC,Cayo Costa,-82.24794958,26.69953977,integrifolia
ZFCC35,CC,Cayo Costa,-82.24792192,26.69963306,integrifolia
ZFCC36,CC,Cayo Costa,-82.24808914,26.69978544,integrifolia
ZFCC37,CC,Cayo Costa,-82.24813465,26.6998064,integrifolia
ZFCC38,CC,Cayo Costa,-82.2476884,26.69954622,integrifolia
ZFCC39,CC,Cayo Costa,-82.24773567,26.69946576,integrifolia
ZFCC40,CC,Cayo Costa,-82.24773919,26.69926585,integrifolia
ZFCC41,CC,Cayo Costa,-82.24768681,26.69976465,integrifolia
ZFCC42,CC,Cayo Costa,-82.24775068,26.69982148,integrifolia
ZFCC43,CC,Cayo Costa,-82.24784489,26.69984696,integrifolia
ZFCC44,CC,Cayo Costa,-82.24792292,26.6998965,integrifolia
ZFCC45,CC,Cayo Costa,-82.24804823,26.69996171,integrifolia
ZFCC46,CC,Cayo Costa,-82.24813155,26.69999331,integrifolia
ZFCC47,CC,Cayo Costa,-82.24836457,26.70007722,integrifolia
ZFCC48,CC,Cayo Costa,-82.24827463,26.70014259,integrifolia
ZFCC49,CC,Cayo Costa,-82.24830782,26.70032733,integrifolia
ZFCC50,CC,Cayo Costa,-82.24825015,26.70036471,integrifolia
ZFCC51,CC,Cayo Costa,-82.2481318,26.70048139,integrifolia
ZFCC52,CC,Cayo Costa,-82.24806902,26.70057183,integrifolia
ZFCC53,CC,Cayo Costa,-82.24796928,26.70067241,integrifolia
ZFCC54,CC,Cayo Costa,-82.2480101,26.70038181,integrifolia
ZCF01,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF02,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF03,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF04,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF05,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF06,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF07,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF08,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF09,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF10,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF11,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF12,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF13,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF14,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF15,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF16,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF17,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF18,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF19,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF20,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF21,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF22,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF23,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF24,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF25,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF26,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF27,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF28,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF29,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF30,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF31,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF32,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF33,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF34,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF35,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF36,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF37,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF38,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF39,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF40,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF41,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZCF42,CF,Chapman Field,-80.3004,25.63856,integrifolia
ZFCR01,CR,Crystal River,-82.63614058,28.91938825,integrifolia
ZFCR02,CR,Crystal River,-82.63691573,28.91926504,integrifolia
ZFCR03,CR,Crystal River,-82.63650728,28.92033138,integrifolia
ZFCR04,CR,Crystal River,-82.64102379,28.92270204,integrifolia
ZFCR05,CR,Crystal River,-82.64494007,28.92336387,integrifolia
ZFCR06,CR,Crystal River,-82.65763278,28.92533982,integrifolia
ZFCR07,CR,Crystal River,-82.66637008,28.93706384,integrifolia
ZFCR08,CR,Crystal River,-82.66601485,28.93795417,integrifolia
ZFCR09,CR,Crystal River,-82.66380211,28.93960423,integrifolia
ZFCR10,CR,Crystal River,-82.64994171,28.94246933,integrifolia
ZFCR11,CR,Crystal River,-82.64880119,28.94343166,integrifolia
ZFCR12,CR,Crystal River,-82.64408872,28.9470751,integrifolia
ZFCR13,CR,Crystal River,-82.64490075,28.95085358,integrifolia
ZFCR14,CR,Crystal River,-82.64237629,28.95879066,integrifolia
ZFCR15,CR,Crystal River,-82.65457087,28.95382321,integrifolia
ZFCR16,CR,Crystal River,-82.66012212,28.95723003,integrifolia
ZFCR17,CR,Crystal River,-82.6284335,28.90747941,integrifolia
ZFCR18,CR,Crystal River,-82.62855562,28.90751403,integrifolia
ZFCR19,CR,Crystal River,-82.62842151,28.90742811,integrifolia
ZFCR20,CR,Crystal River,-82.60795106,28.84674925,integrifolia
ZFCR21,CR,Crystal River,-82.66672606,28.86024294,integrifolia
ZFCR22,CR,Crystal River,-82.66613999,28.86074058,integrifolia
ZFCR23,CR,Crystal River,-82.66601871,28.86076765,integrifolia
ZFCR24,CR,Crystal River,-82.66564697,28.86095507,integrifolia
ZFCR25,CR,Crystal River,-82.66596892,28.86084032,integrifolia
ZFCR26,CR,Crystal River,-82.66656186,28.86041117,integrifolia
ZFCR27,CR,Crystal River,-82.66790606,28.85647696,integrifolia
ZFCR28,CR,Crystal River,-82.66779249,28.85639037,integrifolia
ZFCR29,CR,Crystal River,-82.60775132,28.91072706,integrifolia
ZFCR30,CR,Crystal River,-82.60781083,28.91067057,integrifolia
