"","Ia","p.Ia","rbarD","p.rD"
"Zam05:Zam17",0.08,0,0.08,0
"Zam05:Zam34",0.02,0.16,0.02,0.16
"Zam05:Zam39",-0.02,0.83,-0.02,0.83
"Zam05:Zam55",0.04,0.03,0.04,0.03
"Zam05:Zam60",-0.03,0.88,-0.03,0.87
"Zam05:Zam62",-0.02,0.79,-0.02,0.79
"Zam05:Zfg02",0.02,0.12,0.02,0.12
"Zam05:Zfg25",0.03,0.02,0.03,0.02
"Zam05:Zfg31",0.03,0.05,0.03,0.05
"Zam05:Zfg38",0.02,0.16,0.02,0.16
"Zam17:Zam34",0.04,0.01,0.04,0.01
"Zam17:Zam39",0.01,0.28,0.01,0.28
"Zam17:Zam55",0.12,0,0.12,0
"Zam17:Zam60",-0.04,0.98,-0.04,0.97
"Zam17:Zam62",0.01,0.35,0.01,0.35
"Zam17:Zfg02",0.04,0,0.04,0
"Zam17:Zfg25",0,0.57,0,0.57
"Zam17:Zfg31",-0.03,0.98,-0.03,0.98
"Zam17:Zfg38",0.05,0,0.05,0
"Zam34:Zam39",0.05,0,0.05,0
"Zam34:Zam55",0.07,0,0.07,0
"Zam34:Zam60",-0.04,0.98,-0.04,0.97
"Zam34:Zam62",0.08,0,0.08,0
"Zam34:Zfg02",0.06,0,0.06,0
"Zam34:Zfg25",0.09,0,0.09,0
"Zam34:Zfg31",0.05,0.01,0.05,0.01
"Zam34:Zfg38",0.1,0,0.1,0
"Zam39:Zam55",0.01,0.31,0.01,0.31
"Zam39:Zam60",0.11,0,0.11,0
"Zam39:Zam62",0.11,0,0.11,0
"Zam39:Zfg02",0.05,0,0.05,0
"Zam39:Zfg25",0.06,0,0.06,0
"Zam39:Zfg31",0.13,0,0.13,0
"Zam39:Zfg38",0.07,0,0.07,0
"Zam55:Zam60",0.04,0.05,0.04,0.06
"Zam55:Zam62",0.07,0,0.07,0
"Zam55:Zfg02",0.05,0,0.06,0
"Zam55:Zfg25",0.05,0,0.05,0
"Zam55:Zfg31",-0.02,0.75,-0.02,0.75
"Zam55:Zfg38",0.07,0,0.07,0
"Zam60:Zam62",0.16,0,0.16,0
"Zam60:Zfg02",0.08,0,0.08,0
"Zam60:Zfg25",-0.01,0.66,-0.01,0.65
"Zam60:Zfg31",0.33,0,0.33,0
"Zam60:Zfg38",0.06,0,0.06,0
"Zam62:Zfg02",0.1,0,0.1,0
"Zam62:Zfg25",0.09,0,0.09,0
"Zam62:Zfg31",0.12,0,0.12,0
"Zam62:Zfg38",0.11,0,0.11,0
"Zfg02:Zfg25",0.07,0,0.07,0
"Zfg02:Zfg31",0.1,0,0.1,0
"Zfg02:Zfg38",0.05,0,0.05,0
"Zfg25:Zfg31",0.1,0,0.1,0
"Zfg25:Zfg38",0.19,0,0.19,0
"Zfg31:Zfg38",0.21,0,0.21,0
