"","Ia","p.Ia","rbarD","p.rD"
"locus1:locus2",0.13,0,0.13,0
"locus1:locus3",0.03,0.12,0.03,0.12
"locus1:locus4",0.05,0,0.05,0
"locus1:locus5",0.06,0,0.06,0
"locus1:locus6",0.01,0.28,0.01,0.28
"locus1:locus7",0.07,0,0.07,0
"locus1:locus8",0.01,0.22,0.01,0.22
"locus1:locus9",0.02,0.07,0.02,0.07
"locus1:locus10",0.05,0,0.05,0
"locus1:locus11",-0.01,0.62,-0.01,0.62
"locus1:locus12",0.01,0.34,0.01,0.33
"locus1:locus13",0.06,0,0.06,0
"locus1:locus14",0.03,0.03,0.03,0.03
"locus1:locus15",0.03,0,0.03,0
"locus2:locus3",0,0.57,0,0.57
"locus2:locus4",0.04,0,0.04,0
"locus2:locus5",0.06,0,0.06,0
"locus2:locus6",0.03,0.03,0.03,0.03
"locus2:locus7",0.02,0.26,0.02,0.27
"locus2:locus8",0.02,0.3,0.02,0.3
"locus2:locus9",0.01,0.2,0.01,0.2
"locus2:locus10",0,0.57,0,0.57
"locus2:locus11",-0.03,0.95,-0.03,0.95
"locus2:locus12",0.01,0.3,0.01,0.3
"locus2:locus13",0.06,0,0.06,0
"locus2:locus14",0,0.35,0,0.35
"locus2:locus15",0.09,0,0.09,0
"locus3:locus4",0.06,0.15,0.07,0.13
"locus3:locus5",0.03,0.05,0.03,0.05
"locus3:locus6",0,0.42,0,0.42
"locus3:locus7",-0.07,0.98,-0.07,0.98
"locus3:locus8",-0.03,0.82,-0.04,0.84
"locus3:locus9",-0.01,0.7,-0.01,0.7
"locus3:locus10",0.01,0.42,0.01,0.41
"locus3:locus11",0.04,0.15,0.04,0.15
"locus3:locus12",-0.03,0.94,-0.04,0.94
"locus3:locus13",0.02,0.1,0.02,0.1
"locus3:locus14",0,0.41,0.01,0.41
"locus3:locus15",0.02,0.1,0.02,0.1
"locus4:locus5",0.05,0,0.06,0
"locus4:locus6",0.06,0,0.06,0
"locus4:locus7",0.03,0.16,0.03,0.16
"locus4:locus8",0.05,0.01,0.05,0.01
"locus4:locus9",0.04,0,0.04,0
"locus4:locus10",0,0.44,0,0.44
"locus4:locus11",0.02,0.22,0.02,0.22
"locus4:locus12",0.03,0.03,0.03,0.03
"locus4:locus13",0.04,0,0.04,0
"locus4:locus14",0.08,0,0.08,0
"locus4:locus15",0.12,0,0.12,0
"locus5:locus6",0.08,0,0.08,0
"locus5:locus7",0.04,0.01,0.04,0.01
"locus5:locus8",0.04,0,0.04,0
"locus5:locus9",0.06,0,0.06,0
"locus5:locus10",0.03,0.02,0.03,0.02
"locus5:locus11",0.01,0.26,0.01,0.26
"locus5:locus12",0.02,0.02,0.02,0.02
"locus5:locus13",0.06,0,0.06,0
"locus5:locus14",0.04,0,0.04,0
"locus5:locus15",0.06,0,0.06,0
"locus6:locus7",0,0.43,0,0.43
"locus6:locus8",0,0.47,0,0.47
"locus6:locus9",0.06,0,0.06,0
"locus6:locus10",0.06,0,0.06,0
"locus6:locus11",0,0.53,0,0.53
"locus6:locus12",0,0.42,0,0.42
"locus6:locus13",0.06,0,0.06,0
"locus6:locus14",0,0.58,0,0.58
"locus6:locus15",0.08,0,0.08,0
"locus7:locus8",0.06,0.05,0.06,0.05
"locus7:locus9",0.06,0,0.06,0
"locus7:locus10",0.04,0.17,0.04,0.16
"locus7:locus11",0.01,0.33,0.01,0.34
"locus7:locus12",-0.02,0.81,-0.02,0.8
"locus7:locus13",0.02,0.13,0.02,0.13
"locus7:locus14",-0.04,0.95,-0.04,0.94
"locus7:locus15",0,0.58,0,0.58
"locus8:locus9",0.01,0.34,0.01,0.34
"locus8:locus10",0.09,0,0.09,0
"locus8:locus11",0.02,0.22,0.02,0.22
"locus8:locus12",0,0.54,0,0.54
"locus8:locus13",0.04,0.01,0.04,0.01
"locus8:locus14",0.06,0.01,0.06,0.01
"locus8:locus15",0.02,0.27,0.02,0.27
"locus9:locus10",-0.03,0.89,-0.03,0.88
"locus9:locus11",0.05,0.01,0.05,0.01
"locus9:locus12",0,0.41,0,0.41
"locus9:locus13",0.05,0,0.05,0
"locus9:locus14",0,0.36,0,0.36
"locus9:locus15",0.05,0,0.05,0
"locus10:locus11",0.05,0.07,0.05,0.07
"locus10:locus12",-0.02,0.88,-0.02,0.87
"locus10:locus13",0.06,0,0.07,0
"locus10:locus14",0.07,0,0.07,0.01
"locus10:locus15",-0.02,0.84,-0.02,0.84
"locus11:locus12",-0.02,0.8,-0.02,0.8
"locus11:locus13",0.04,0,0.04,0
"locus11:locus14",0.06,0.01,0.06,0.01
"locus11:locus15",-0.01,0.79,-0.01,0.79
"locus12:locus13",0.01,0.08,0.01,0.08
"locus12:locus14",0.01,0.25,0.01,0.25
"locus12:locus15",0.05,0,0.05,0
"locus13:locus14",0.08,0,0.08,0
"locus13:locus15",0.07,0,0.07,0
"locus14:locus15",0.05,0,0.05,0
