"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",52,31,37,19,2,NA,NA,NA,NA
"2 or more copies",52,31,37,19,2,NA,NA,NA,NA
"3 or more copies",51,31,37,18,2,NA,NA,NA,NA
"4 or more copies",51,31,37,18,2,NA,NA,NA,NA
"5 or more copies",51,31,37,18,2,NA,NA,NA,NA
"6 or more copies",51,31,37,18,2,NA,NA,NA,NA
"7 or more copies",49,31,37,17,1,NA,NA,NA,NA
"8 or more copies",49,31,37,17,1,NA,NA,NA,NA
"9 or more copies",49,31,37,17,1,NA,NA,NA,NA
"10 or more copies",49,31,37,17,1,NA,NA,NA,NA
