"","global","glob_v_com","glob_com","glob_lowfr","glob_rare","reg_rare","loc_com_d1","loc_com_d2","loc_rare"
"1 or more copies",0.817647058823529,0.795454545454545,0.819444444444444,0.828571428571429,0.75,0,0,0,0
"2 or more copies",0.770588235294118,0.704545454545455,0.75,0.814285714285714,0.660714285714286,0,0,0,0
"3 or more copies",0.717647058823529,0.659090909090909,0.680555555555556,0.757142857142857,0.607142857142857,0,0,0,0
"4 or more copies",0.670588235294118,0.568181818181818,0.611111111111111,0.728571428571429,0.607142857142857,0,0,0,0
"5 or more copies",0.652941176470588,0.545454545454545,0.597222222222222,0.714285714285714,0.607142857142857,0,0,0,0
"6 or more copies",0.641176470588235,0.545454545454545,0.597222222222222,0.685714285714286,0.571428571428571,0,0,0,0
"7 or more copies",0.635294117647059,0.545454545454545,0.597222222222222,0.685714285714286,0.553571428571429,0,0,0,0
"8 or more copies",0.623529411764706,0.545454545454545,0.583333333333333,0.657142857142857,0.535714285714286,0,0,0,0
"9 or more copies",0.617647058823529,0.522727272727273,0.569444444444444,0.657142857142857,0.535714285714286,0,0,0,0
"10 or more copies",0.605882352941176,0.522727272727273,0.569444444444444,0.628571428571429,0.517857142857143,0,0,0,0
